schema	tiler.apple-numerical-behaviour/v2
case.scale_two_bias_one.runtime.fast.opt-size.applied_options	math=fast,fpfun=precise,lang=3.1,opt=size
case.scale_two_bias_one.runtime.fast.opt-size.archived_options	air.compile.denorms_disable air.compile.fast_math_enable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.runtime.fast.opt-size.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.runtime.relaxed.opt-default.applied_options	math=relaxed,fpfun=precise,lang=3.1,opt=default
case.scale_two_bias_one.runtime.relaxed.opt-default.archived_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.runtime.relaxed.opt-default.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.runtime.relaxed.opt-size.applied_options	math=relaxed,fpfun=precise,lang=3.1,opt=size
case.scale_two_bias_one.runtime.relaxed.opt-size.archived_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.runtime.relaxed.opt-size.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.runtime.safe.opt-default.applied_options	math=safe,fpfun=precise,lang=3.1,opt=default
case.scale_two_bias_one.runtime.safe.opt-default.archived_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.runtime.safe.opt-default.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.runtime.safe.opt-size.applied_options	math=safe,fpfun=precise,lang=3.1,opt=size
case.scale_two_bias_one.runtime.safe.opt-size.archived_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.runtime.safe.opt-size.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.safe.O2.contract-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.safe.O2.contract-fast.float_operations	fmul+contract fadd+contract
case.scale_two_bias_one.safe.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.safe.O2.contract-off.float_operations	fmul fadd
case.scale_two_bias_one.safe.O2.contract-off.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
case.scale_two_bias_one.safe.O2.contract-on.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.scale_two_bias_one.safe.O2.contract-on.float_operations	fmul fadd
case.scale_two_bias_one.safe.O2.contract-on.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fdcbf7c 40400000
comparison.contraction_pair.runtime.safe.opt-default	agree-on-some candidates=contraction_pair.safe.O2.contract-fast,contraction_pair.safe.O2.contract-off,contraction_pair.safe.O2.contract-on matched=contraction_pair.safe.O2.contract-off,contraction_pair.safe.O2.contract-on
comparison.contraction_pair.runtime.safe.opt-size	agree-on-some candidates=contraction_pair.safe.O2.contract-fast,contraction_pair.safe.O2.contract-off,contraction_pair.safe.O2.contract-on matched=contraction_pair.safe.O2.contract-off,contraction_pair.safe.O2.contract-on
comparison.contraction_pair_canonicalized.runtime.safe.opt-default	agree candidates=contraction_pair_canonicalized.safe.O2.contract-fast,contraction_pair_canonicalized.safe.O2.contract-off,contraction_pair_canonicalized.safe.O2.contract-on matched=contraction_pair_canonicalized.safe.O2.contract-fast,contraction_pair_canonicalized.safe.O2.contract-off,contraction_pair_canonicalized.safe.O2.contract-on
comparison.contraction_pair_canonicalized.runtime.safe.opt-size	agree candidates=contraction_pair_canonicalized.safe.O2.contract-fast,contraction_pair_canonicalized.safe.O2.contract-off,contraction_pair_canonicalized.safe.O2.contract-on matched=contraction_pair_canonicalized.safe.O2.contract-fast,contraction_pair_canonicalized.safe.O2.contract-off,contraction_pair_canonicalized.safe.O2.contract-on
comparison.materialize.runtime.fast.opt-default	agree candidates=materialize.fast.O2.contract-off matched=materialize.fast.O2.contract-off
comparison.materialize.runtime.fast.opt-size	agree candidates=materialize.fast.O2.contract-off matched=materialize.fast.O2.contract-off
comparison.materialize.runtime.relaxed.opt-default	agree candidates=materialize.relaxed.O2.contract-off matched=materialize.relaxed.O2.contract-off
comparison.materialize.runtime.relaxed.opt-size	agree candidates=materialize.relaxed.O2.contract-off matched=materialize.relaxed.O2.contract-off
comparison.materialize.runtime.safe.opt-default	agree candidates=materialize.safe.O2.contract-off matched=materialize.safe.O2.contract-off
comparison.materialize.runtime.safe.opt-size	agree candidates=materialize.safe.O2.contract-off matched=materialize.safe.O2.contract-off
comparison.multiply_half.runtime.fast.opt-default	agree candidates=multiply_half.fast.O2.contract-off matched=multiply_half.fast.O2.contract-off
comparison.multiply_half.runtime.fast.opt-size	agree candidates=multiply_half.fast.O2.contract-off matched=multiply_half.fast.O2.contract-off
comparison.multiply_half.runtime.relaxed.opt-default	agree candidates=multiply_half.relaxed.O2.contract-off matched=multiply_half.relaxed.O2.contract-off
comparison.multiply_half.runtime.relaxed.opt-size	agree candidates=multiply_half.relaxed.O2.contract-off matched=multiply_half.relaxed.O2.contract-off
comparison.multiply_half.runtime.safe.opt-default	agree candidates=multiply_half.safe.O2.contract-off matched=multiply_half.safe.O2.contract-off
comparison.multiply_half.runtime.safe.opt-size	agree candidates=multiply_half.safe.O2.contract-off matched=multiply_half.safe.O2.contract-off
comparison.multiply_one.runtime.fast.opt-default	agree candidates=multiply_one.fast.O2.contract-off matched=multiply_one.fast.O2.contract-off
comparison.multiply_one.runtime.fast.opt-size	agree candidates=multiply_one.fast.O2.contract-off matched=multiply_one.fast.O2.contract-off
comparison.multiply_one.runtime.relaxed.opt-default	agree candidates=multiply_one.relaxed.O2.contract-off matched=multiply_one.relaxed.O2.contract-off
comparison.multiply_one.runtime.relaxed.opt-size	agree candidates=multiply_one.relaxed.O2.contract-off matched=multiply_one.relaxed.O2.contract-off
comparison.multiply_one.runtime.safe.opt-default	agree candidates=multiply_one.safe.O2.contract-off matched=multiply_one.safe.O2.contract-off
comparison.multiply_one.runtime.safe.opt-size	agree candidates=multiply_one.safe.O2.contract-off matched=multiply_one.safe.O2.contract-off
comparison.multiply_two.runtime.fast.opt-default	agree candidates=multiply_two.fast.O2.contract-off matched=multiply_two.fast.O2.contract-off
comparison.multiply_two.runtime.fast.opt-size	agree candidates=multiply_two.fast.O2.contract-off matched=multiply_two.fast.O2.contract-off
comparison.multiply_two.runtime.relaxed.opt-default	agree candidates=multiply_two.relaxed.O2.contract-off matched=multiply_two.relaxed.O2.contract-off
comparison.multiply_two.runtime.relaxed.opt-size	agree candidates=multiply_two.relaxed.O2.contract-off matched=multiply_two.relaxed.O2.contract-off
comparison.multiply_two.runtime.safe.opt-default	agree candidates=multiply_two.safe.O2.contract-off matched=multiply_two.safe.O2.contract-off
comparison.multiply_two.runtime.safe.opt-size	agree candidates=multiply_two.safe.O2.contract-off matched=multiply_two.safe.O2.contract-off
comparison.scale_one_bias_zero.runtime.fast.opt-default	agree candidates=scale_one_bias_zero.fast.O2.contract-off matched=scale_one_bias_zero.fast.O2.contract-off
comparison.scale_one_bias_zero.runtime.fast.opt-size	agree candidates=scale_one_bias_zero.fast.O2.contract-off matched=scale_one_bias_zero.fast.O2.contract-off
comparison.scale_one_bias_zero.runtime.relaxed.opt-default	agree candidates=scale_one_bias_zero.relaxed.O2.contract-off matched=scale_one_bias_zero.relaxed.O2.contract-off
comparison.scale_one_bias_zero.runtime.relaxed.opt-size	agree candidates=scale_one_bias_zero.relaxed.O2.contract-off matched=scale_one_bias_zero.relaxed.O2.contract-off
comparison.scale_one_bias_zero.runtime.safe.opt-default	agree candidates=scale_one_bias_zero.safe.O2.contract-off matched=scale_one_bias_zero.safe.O2.contract-off
comparison.scale_one_bias_zero.runtime.safe.opt-size	agree candidates=scale_one_bias_zero.safe.O2.contract-off matched=scale_one_bias_zero.safe.O2.contract-off
comparison.scale_two_bias_one.runtime.fast.opt-default	agree candidates=scale_two_bias_one.fast.O2.contract-fast,scale_two_bias_one.fast.O2.contract-off,scale_two_bias_one.fast.O2.contract-on matched=scale_two_bias_one.fast.O2.contract-fast,scale_two_bias_one.fast.O2.contract-off,scale_two_bias_one.fast.O2.contract-on
comparison.scale_two_bias_one.runtime.fast.opt-size	agree candidates=scale_two_bias_one.fast.O2.contract-fast,scale_two_bias_one.fast.O2.contract-off,scale_two_bias_one.fast.O2.contract-on matched=scale_two_bias_one.fast.O2.contract-fast,scale_two_bias_one.fast.O2.contract-off,scale_two_bias_one.fast.O2.contract-on
comparison.scale_two_bias_one.runtime.relaxed.opt-default	agree candidates=scale_two_bias_one.relaxed.O2.contract-fast,scale_two_bias_one.relaxed.O2.contract-off,scale_two_bias_one.relaxed.O2.contract-on matched=scale_two_bias_one.relaxed.O2.contract-fast,scale_two_bias_one.relaxed.O2.contract-off,scale_two_bias_one.relaxed.O2.contract-on
comparison.scale_two_bias_one.runtime.relaxed.opt-size	agree candidates=scale_two_bias_one.relaxed.O2.contract-fast,scale_two_bias_one.relaxed.O2.contract-off,scale_two_bias_one.relaxed.O2.contract-on matched=scale_two_bias_one.relaxed.O2.contract-fast,scale_two_bias_one.relaxed.O2.contract-off,scale_two_bias_one.relaxed.O2.contract-on
comparison.scale_two_bias_one.runtime.safe.opt-default	agree candidates=scale_two_bias_one.safe.O2.contract-fast,scale_two_bias_one.safe.O2.contract-off,scale_two_bias_one.safe.O2.contract-on matched=scale_two_bias_one.safe.O2.contract-fast,scale_two_bias_one.safe.O2.contract-off,scale_two_bias_one.safe.O2.contract-on
comparison.scale_two_bias_one.runtime.safe.opt-size	agree candidates=scale_two_bias_one.safe.O2.contract-fast,scale_two_bias_one.safe.O2.contract-off,scale_two_bias_one.safe.O2.contract-on matched=scale_two_bias_one.safe.O2.contract-fast,scale_two_bias_one.safe.O2.contract-off,scale_two_bias_one.safe.O2.contract-on
probe.status	complete
